text,label,risk_score,class
" Предоставление права использования КИП в предпринимательской деятельности Пользователя подлежит государственной регистрации в Федеральной службе по интеллектуальной собственности (далее - Роспатент). Регистрацию (сбор и подачу необходимых документов, оплату пошлины и иные действия, связанные с регистрацией) обеспечивает Пользователь.","Если Пользователь не успеет зарегистрировать договор до 15 апреля 2025 г., договор считается незаключенным (<a href='https://www.consultant.ru/cons/cgi/online.cgi?req=doc&base=LAW&n=493202&dst=102438&cacheid=DC2BCEEBA288868C4A28E1354B99BAE1&mode=splus&rnd=5mgkSiUhuVBULvZ6#wC6lSiUELv7TtjjN1' target='_blank'>ст. 1028 ГК РФ</a>). Риск: действия Пользователя будут незаконными, включая использование товарного знака.", 0.3,"Умеренный"
"Документы, необходимые для государственной регистрации предоставления права использования КИП, должны быть поданы в Роспатент в срок не позднее 15 апреля 2025г.","Если Пользователь не успеет зарегистрировать договор до 15 апреля 2025 г., договор считается незаключенным (<a href='https://www.consultant.ru/cons/cgi/online.cgi?req=doc&base=LAW&n=493202&dst=102438&cacheid=DC2BCEEBA288868C4A28E1354B99BAE1&mode=splus&rnd=5mgkSiUhuVBULvZ6#wC6lSiUELv7TtjjN1' target='_blank'>ст. 1028 ГК РФ</a>). Риск: действия Пользователя будут незаконными, включая использование товарного знака.", 0.3,"Умеренный"
"г. Москва ",neutral,0.0,"нет"
"ООО «Киберклуб», именуемое в дальнейшем Правообладатель, в лице генерального",neutral,0.0,"нет"
"ПРЕДМЕТ ДОГОВОРА.",neutral,0.0,"нет"
"ДОГОВОР КОММЕРЧЕСКОЙ КОНЦЕССИИ N 1",neutral,0.0,"нет"
"Не открывать аналогичные компьютерные клубы или иные конкурирующие предприятия в радиусе 15 км от текущего места деятельности в течение 5 лет после прекращения Договора.","Запрет открывать клубы в радиусе 15 км в течение 5 лет может быть признано ограничивающим  конкуренцию (<a href='https://www.consultant.ru/cons/cgi/online.cgi?req=doc&base=LAW&n=493202&cacheid=78B5253D5DD9DDC22C0BC6B8449F39ED&mode=splus&rnd=5mgkSiUhuVBULvZ6#w0alSiUyGX5Hwzzv1' target='_blank'>п. 3 ст. 1033 ГК РФ</a>).",0.73,"Очень высокий"
"Устанавливать обязательные для Франчайзи требования к ценообразованию на основные услуги, включая требования к ценам в прайс-листах.","Установление фиксированных цен Правообладателем нарушает <a href='https://www.consultant.ru/cons/cgi/online.cgi?req=doc&base=LAW&n=493202&dst=76&cacheid=7D3818BB3984E2DE67FEFF881ECEB71D&mode=splus&rnd=HmEcGQ#BOplSiU0iAdZ6nEZ1' target='_blank'>ст. 1033 ГК РФ</a>, которая запрещает антиконкурентные условия. Это может привести к спорам с антимонопольной службой.",0.7,"Очень высокий"
"Информировать Правообладателя о деятельности открытого киберспортивного клуба, в т.ч. путем предоставления баз данных Клиентов для формирования маркетинговых предложений.","Требование передавать базы данных клиентов без их согласия нарушает закон <a href='https://www.consultant.ru/cons/cgi/online.cgi?req=doc&base=LAW&n=482686&dst=0&edition=etD&rnd=HmEcGQ#jj1mSiU3Hi33ZlX5' target='_blank'>№ 152-ФЗ</a> о персональных данных. Пользователь рискует штрафами до 75 000 руб. (<a href='https://www.consultant.ru/cons/cgi/online.cgi?req=doc&base=LAW&n=502272&dst=7755&edition=etD&rnd=HmEcGQ#mqvmSiUakoRjRcdp1' target='_blank'>ст. 13.11 КоАП РФ</a>).",0.6,"Высокий"
"Вознаграждение по Договору устанавливается в виде- разового (паушального) платежа в размере 2 000 000 руб.- периодических платежей (роялти), которые определяются в соответствии с предоставляемыми Отчетами о финансово-экономической деятельностью Пользователя. Расчет конкретного роялти осуществляется в соответствии со ставками, указанными в Дополнительном соглашении.","Указание «10% от выручки» без уточнения (валовая/чистая) противоречит <a href='https://www.consultant.ru/cons/cgi/online.cgi?req=doc&base=LAW&n=482692&dst=102004&edition=etD&rnd=HmEcGQ#DA8nSiUsRzi4E6tn1' target='_blank'>ст. 424 ГК РФ</a> (цена должна быть определена четко). Суд может признать условие несогласованным.",0.2,"Умеренный"
